ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
239,0,0,33,0,-33
240,1,1,452,1585,1133
241,0,0,1,0,-1
242,1,0,4,0,-4
243,0,0,17,0,-17
244,1,0,1,0,-1
245,1,1,644,1706,1062
246,1,1,480,1940,1460
247,1,1,720,1654,934
248,0,0,87,0,-87
249,1,1,282,1727,1445
250,1,0,28,0,-28
251,0,0,46,0,-46
252,0,0,48,0,-48
253,1,0,27,0,-27
254,1,1,65,1449,1384
255,1,0,185,0,-185
256,1,0,138,0,-138
257,0,0,1,0,-1
258,1,1,222,1671,1449
259,0,0,50,0,-50
260,0,0,46,0,-46
261,1,0,0,0,0
262,1,1,1002,1327,325
263,1,1,979,1238,259
264,1,1,27,1269,1242
265,1,0,1,0,-1
266,0,0,25,0,-25
267,1,1,418,1747,1329
268,1,0,15,0,-15
269,1,1,52,1299,1247
270,0,0,1,0,-1
271,1,1,167,1441,1274
272,0,0,148,0,-148
273,1,0,23,0,-23
274,1,0,10,0,-10
275,1,1,1326,1244,-82
276,1,1,241,1747,1506
277,0,0,2,0,-2
278,0,0,25,0,-25
279,1,1,353,1263,910
280,1,1,998,2439,1441
281,1,1,324,1383,1059
282,0,0,136,0,-136
283,1,0,174,0,-174
284,0,0,236,0,-236
285,1,0,28,0,-28
286,1,0,29,0,-29
287,1,0,101,0,-101
288,1,0,95,0,-95
289,1,0,31,0,-31
290,0,0,167,0,-167
291,1,0,17,0,-17
292,0,0,58,0,-58
293,1,1,247,2145,1898
294,0,0,2,0,-2
295,1,0,67,0,-67
296,1,0,72,0,-72
297,1,1,423,1341,918
298,1,0,14,0,-14
299,1,1,1678,1497,-181
300,0,0,1,0,-1
301,1,1,289,1545,1256
302,1,0,73,0,-73
303,1,0,8,0,-8
304,1,0,38,0,-38
305,1,1,1107,1734,627
306,1,1,679,1679,1000
307,1,0,15,0,-15
308,1,0,33,0,-33
309,1,1,628,1543,915
310,1,0,127,0,-127
311,0,0,56,0,-56
312,1,1,292,1911,1619
313,0,0,85,0,-85
314,0,0,5,0,-5
315,1,1,1626,2296,670
316,1,1,28,1700,1672
317,0,0,15,0,-15
318,1,0,69,0,-69
319,1,0,3,0,-3
320,1,0,34,0,-34
321,1,0,56,0,-56
322,1,0,49,0,-49
323,0,0,1,0,-1
324,1,1,406,1696,1290
325,1,0,45,0,-45
326,1,1,494,1362,868
327,0,0,19,0,-19
328,1,1,329,1241,912
329,1,0,6,0,-6
330,1,1,30,1242,1212
331,0,0,43,0,-43
332,1,0,37,0,-37
333,1,0,16,0,-16
334,0,0,8,0,-8
335,0,0,36,0,-36
336,0,0,11,0,-11
337,0,0,51,0,-51
338,1,0,45,0,-45
339,1,0,178,0,-178
340,0,0,5,0,-5
341,0,0,56,0,-56
342,0,0,79,0,-79
343,1,0,74,0,-74
344,0,0,5,0,-5
345,0,0,8,0,-8
346,1,1,1293,1267,-26
347,1,1,669,2145,1476
348,0,0,26,0,-26
349,0,0,93,0,-93
350,0,0,124,0,-124
351,0,0,24,0,-24
352,0,0,103,0,-103
353,0,0,15,0,-15
354,1,1,1049,1964,915
