ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
239,0,0,25,0,-25
240,1,1,831,1498,667
241,1,0,38,0,-38
242,1,0,7,0,-7
243,0,0,72,0,-72
244,1,0,68,0,-68
245,1,1,481,1415,934
246,1,1,2196,1723,-473
247,1,1,216,1705,1489
248,1,0,47,0,-47
249,0,0,30,0,-30
250,0,0,58,0,-58
251,1,0,16,0,-16
252,0,0,5,0,-5
253,0,0,242,0,-242
254,1,0,24,0,-24
255,0,0,12,0,-12
256,1,1,515,1520,1005
257,1,0,12,0,-12
258,1,1,638,1254,616
259,0,0,2,0,-2
260,1,0,129,0,-129
261,0,0,28,0,-28
262,0,0,41,0,-41
263,1,0,110,0,-110
264,1,0,33,0,-33
265,0,0,104,0,-104
266,0,0,81,0,-81
267,0,0,39,0,-39
268,1,0,44,0,-44
269,1,1,179,1420,1241
270,0,0,126,0,-126
271,0,0,2,0,-2
272,0,0,26,0,-26
273,1,0,20,0,-20
274,1,0,10,0,-10
275,1,1,185,1635,1450
276,0,0,8,0,-8
277,1,0,31,0,-31
278,0,0,12,0,-12
279,0,0,49,0,-49
280,1,0,67,0,-67
281,0,0,131,0,-131
282,1,1,1003,1344,341
283,0,0,131,0,-131
284,1,0,84,0,-84
285,1,0,89,0,-89
286,0,0,69,0,-69
287,0,0,40,0,-40
288,1,0,2,0,-2
289,0,0,11,0,-11
290,0,0,28,0,-28
291,1,0,126,0,-126
292,0,0,111,0,-111
293,1,0,34,0,-34
294,1,1,875,2712,1837
295,1,1,92,1481,1389
296,0,0,1,0,-1
297,1,0,1,0,-1
298,0,0,8,0,-8
299,0,0,95,0,-95
300,0,0,9,0,-9
301,0,0,23,0,-23
302,1,0,79,0,-79
303,0,0,0,0,0
304,1,0,5,0,-5
305,1,0,10,0,-10
306,0,0,12,0,-12
307,0,0,141,0,-141
308,1,1,485,1304,819
309,1,1,65,1300,1235
310,0,0,26,0,-26
311,1,0,16,0,-16
312,1,0,42,0,-42
313,1,1,276,1256,980
314,1,0,5,0,-5
315,1,0,96,0,-96
